experiment,lsu_mode,lsu_num,load_store,totalLoadLatency_ticks,latency_per_request_ticks
seq_load_32,2,32,1,813567,25423
seq_store_32,2,32,2,816903,25528
seq_load_64,2,64,1,832332,13005
seq_store_64,2,64,2,830664,12979
seq_load_128,2,128,1,1285611,10043
seq_store_128,2,128,2,967023,7554
seq_load_256,2,256,1,1911111,7465
seq_store_256,2,256,2,1575843,6155
seq_load_512,2,512,1,2817252,5502
seq_store_512,2,512,2,2956530,5774
rand_load_32,3,32,1,775620,24238
rand_store_32,3,32,2,978699,30584
rand_load_64,3,64,1,782709,12229
rand_store_64,3,64,2,792717,12386
rand_load_128,3,128,1,821073,6414
rand_store_128,3,128,2,816486,6378
rand_load_256,3,256,1,1545402,6036
rand_store_256,3,256,2,1483269,5794
rand_load_512,3,512,1,1379853,2695
rand_store_512,3,512,2,1470342,2871
